"PU","NAME","WGMS_ID","SURVEY_ID","SURVEY_DATE","REFERENCE_DATE","AREA_SURVEY_YEAR","AREA_CHANGE","ELEVATION_CHANGE","ELEVATION_CHANGE_UNC","INVESTIGATOR","SPONS_AGENCY","REFERENCE","REMARKS"
"US","UNNAMED 19263",19263,26057,20150916,20010607,1.554000,,-18743.0000000,17264.00,"Robert McNabb","Department of Geosciences, University of Oslo","Zemp et al. (2019): Nature, 568, 382–386, DOI: 10.1038/s41586-019-1071-0.","Granule name of the reference/survey DEM: AST_L1A_00306072001215020/AST_L1A_00309162015215405. Uncertainty assessment based on the calculation in Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2999. "
"US","UNNAMED 19264",19264,26058,20150331,20050616,0.5250000,,-3646.0000000,9358.000,"Robert McNabb","Department of Geosciences, University of Oslo","Zemp et al. (2019): Nature, 568, 382–386, DOI: 10.1038/s41586-019-1071-0.","Granule name of the reference/survey DEM: AST_L1A_00306162005065216/SETSM_WV02_20150331_103001003F31EE00_103001003F956B00_seg1_30m_dem. Uncertainty assessment based on the calculation in Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2"
"US","UNNAMED 19264",19264,26059,20150331,20060725,0.5250000,,-5226.0000000,8211.000,"Robert McNabb","Department of Geosciences, University of Oslo","Zemp et al. (2019): Nature, 568, 382–386, DOI: 10.1038/s41586-019-1071-0.","Granule name of the reference/survey DEM: AST_L1A_00307252006212849/SETSM_WV02_20150331_103001003F31EE00_103001003F956B00_seg1_30m_dem. Uncertainty assessment based on the calculation in Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2"
"US","UNNAMED 19265",19265,26062,20140629,20010607,6.746000,,-8214.0000000,11272.00,"Robert McNabb","Department of Geosciences, University of Oslo","Zemp et al. (2019): Nature, 568, 382–386, DOI: 10.1038/s41586-019-1071-0.","Granule name of the reference/survey DEM: AST_L1A_00306072001215020/AST_L1A_00306292014212934. Uncertainty assessment based on the calculation in Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2999. "
"US","UNNAMED 19265",19265,26060,20150331,20010607,6.746000,,-11954.0000000,6520.000,"Robert McNabb","Department of Geosciences, University of Oslo","Zemp et al. (2019): Nature, 568, 382–386, DOI: 10.1038/s41586-019-1071-0.","Granule name of the reference/survey DEM: AST_L1A_00306072001215020/SETSM_WV02_20150331_103001003F31EE00_103001003F956B00_seg1_30m_dem. Uncertainty assessment based on the calculation in Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2"
"US","UNNAMED 19265",19265,26061,20150331,20060725,6.746000,,-5609.0000000,8108.000,"Robert McNabb","Department of Geosciences, University of Oslo","Zemp et al. (2019): Nature, 568, 382–386, DOI: 10.1038/s41586-019-1071-0.","Granule name of the reference/survey DEM: AST_L1A_00307252006212849/SETSM_WV02_20150331_103001003F31EE00_103001003F956B00_seg1_30m_dem. Uncertainty assessment based on the calculation in Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2"
"US","UNNAMED 19266",19266,26063,20120518,20010607,0.8000000,,-9629.0000000,4998.000,"Robert McNabb","Department of Geosciences, University of Oslo","Zemp et al. (2019): Nature, 568, 382–386, DOI: 10.1038/s41586-019-1071-0.","Granule name of the reference/survey DEM: AST_L1A_00306072001215020/SETSM_WV01_20120518_102001001A126900_102001001C26AF00_seg1_30m_dem. Uncertainty assessment based on the calculation in Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2"
"US","UNNAMED 19266",19266,26071,20130304,20010607,0.8000000,,-9327.0000000,6334.000,"Robert McNabb","Department of Geosciences, University of Oslo","Zemp et al. (2019): Nature, 568, 382–386, DOI: 10.1038/s41586-019-1071-0.","Granule name of the reference/survey DEM: AST_L1A_00306072001215020/SETSM_WV01_20130304_1020010021022D00_102001002187BB00_seg1_30m_dem. Uncertainty assessment based on the calculation in Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2"
"US","UNNAMED 19266",19266,26067,20150331,20010607,0.8000000,,-12896.0000000,6593.000,"Robert McNabb","Department of Geosciences, University of Oslo","Zemp et al. (2019): Nature, 568, 382–386, DOI: 10.1038/s41586-019-1071-0.","Granule name of the reference/survey DEM: AST_L1A_00306072001215020/SETSM_WV02_20150331_103001003F31EE00_103001003F956B00_seg1_30m_dem. Uncertainty assessment based on the calculation in Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2"
"US","UNNAMED 19266",19266,26068,20150331,20060725,0.8000000,,-9050.0000000,8206.000,"Robert McNabb","Department of Geosciences, University of Oslo","Zemp et al. (2019): Nature, 568, 382–386, DOI: 10.1038/s41586-019-1071-0.","Granule name of the reference/survey DEM: AST_L1A_00307252006212849/SETSM_WV02_20150331_103001003F31EE00_103001003F956B00_seg1_30m_dem. Uncertainty assessment based on the calculation in Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2"
"US","UNNAMED 19266",19266,26072,20150610,20010607,0.8000000,,-14135.0000000,13652.00,"Robert McNabb","Department of Geosciences, University of Oslo","Zemp et al. (2019): Nature, 568, 382–386, DOI: 10.1038/s41586-019-1071-0.","Granule name of the reference/survey DEM: AST_L1A_00306072001215020/SETSM_WV02_20150610_10300100444C0400_1030010044AC4900_seg1_30m_dem. Uncertainty assessment based on the calculation in Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2"
"US","UNNAMED 19266",19266,26073,20150610,20060725,0.8000000,,-8159.0000000,12812.00,"Robert McNabb","Department of Geosciences, University of Oslo","Zemp et al. (2019): Nature, 568, 382–386, DOI: 10.1038/s41586-019-1071-0.","Granule name of the reference/survey DEM: AST_L1A_00307252006212849/SETSM_WV02_20150610_10300100444C0400_1030010044AC4900_seg1_30m_dem. Uncertainty assessment based on the calculation in Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2"
"US","UNNAMED 19266",19266,26066,20150828,20010607,0.8000000,,-17027.0000000,16256.00,"Robert McNabb","Department of Geosciences, University of Oslo","Zemp et al. (2019): Nature, 568, 382–386, DOI: 10.1038/s41586-019-1071-0.","Granule name of the reference/survey DEM: AST_L1A_00306072001215020/SETSM_WV03_20150828_10400100108C8500_104001000F2E3C00_seg1_30m_dem. Uncertainty assessment based on the calculation in Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2"
"US","UNNAMED 19266",19266,26065,20150828,20060725,0.8000000,,-10856.0000000,15685.00,"Robert McNabb","Department of Geosciences, University of Oslo","Zemp et al. (2019): Nature, 568, 382–386, DOI: 10.1038/s41586-019-1071-0.","Granule name of the reference/survey DEM: AST_L1A_00307252006212849/SETSM_WV03_20150828_10400100108C8500_104001000F2E3C00_seg1_30m_dem. Uncertainty assessment based on the calculation in Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2"
"US","UNNAMED 19266",19266,26064,20150916,20010607,0.8000000,,-19104.0000000,15229.00,"Robert McNabb","Department of Geosciences, University of Oslo","Zemp et al. (2019): Nature, 568, 382–386, DOI: 10.1038/s41586-019-1071-0.","Granule name of the reference/survey DEM: AST_L1A_00306072001215020/AST_L1A_00309162015215405. Uncertainty assessment based on the calculation in Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2999. "
"US","UNNAMED 19266",19266,26070,20170603,20010607,0.8000000,,-10185.0000000,11050.00,"Robert McNabb","Department of Geosciences, University of Oslo","Zemp et al. (2019): Nature, 568, 382–386, DOI: 10.1038/s41586-019-1071-0.","Granule name of the reference/survey DEM: AST_L1A_00306072001215020/AST_L1A_00306032017214126. Uncertainty assessment based on the calculation in Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2999. "
"US","UNNAMED 19266",19266,26069,20170603,20060725,0.8000000,,-4583.0000000,11807.00,"Robert McNabb","Department of Geosciences, University of Oslo","Zemp et al. (2019): Nature, 568, 382–386, DOI: 10.1038/s41586-019-1071-0.","Granule name of the reference/survey DEM: AST_L1A_00307252006212849/AST_L1A_00306032017214126. Uncertainty assessment based on the calculation in Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2999. "
"US","UNNAMED 19267",19267,26076,20120518,20010607,2.165000,,-18686.0000000,5903.000,"Robert McNabb","Department of Geosciences, University of Oslo","Zemp et al. (2019): Nature, 568, 382–386, DOI: 10.1038/s41586-019-1071-0.","Granule name of the reference/survey DEM: AST_L1A_00306072001215020/SETSM_WV01_20120518_102001001A126900_102001001C26AF00_seg1_30m_dem. Uncertainty assessment based on the calculation in Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2"
"US","UNNAMED 19267",19267,26075,20150331,20010607,2.165000,,-21157.0000000,7123.000,"Robert McNabb","Department of Geosciences, University of Oslo","Zemp et al. (2019): Nature, 568, 382–386, DOI: 10.1038/s41586-019-1071-0.","Granule name of the reference/survey DEM: AST_L1A_00306072001215020/SETSM_WV02_20150331_103001003F31EE00_103001003F956B00_seg1_30m_dem. Uncertainty assessment based on the calculation in Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2"
"US","UNNAMED 19267",19267,26074,20150331,20060725,2.165000,,-13875.0000000,7656.000,"Robert McNabb","Department of Geosciences, University of Oslo","Zemp et al. (2019): Nature, 568, 382–386, DOI: 10.1038/s41586-019-1071-0.","Granule name of the reference/survey DEM: AST_L1A_00307252006212849/SETSM_WV02_20150331_103001003F31EE00_103001003F956B00_seg1_30m_dem. Uncertainty assessment based on the calculation in Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2"
"US","UNNAMED 19268",19268,26077,20120518,20010607,2.233000,,-8800.0000000,5215.000,"Robert McNabb","Department of Geosciences, University of Oslo","Zemp et al. (2019): Nature, 568, 382–386, DOI: 10.1038/s41586-019-1071-0.","Granule name of the reference/survey DEM: AST_L1A_00306072001215020/SETSM_WV01_20120518_102001001A126900_102001001C26AF00_seg1_30m_dem. Uncertainty assessment based on the calculation in Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2"
"US","UNNAMED 19268",19268,26079,20130311,20010607,2.233000,,-11409.0000000,7500.000,"Robert McNabb","Department of Geosciences, University of Oslo","Zemp et al. (2019): Nature, 568, 382–386, DOI: 10.1038/s41586-019-1071-0.","Granule name of the reference/survey DEM: AST_L1A_00306072001215020/SETSM_WV02_20130311_1030010020D2FD00_103001001F6F2E00_seg1_30m_dem. Uncertainty assessment based on the calculation in Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2"
"US","UNNAMED 19268",19268,26084,20140629,20010607,2.233000,,-8352.0000000,10855.00,"Robert McNabb","Department of Geosciences, University of Oslo","Zemp et al. (2019): Nature, 568, 382–386, DOI: 10.1038/s41586-019-1071-0.","Granule name of the reference/survey DEM: AST_L1A_00306072001215020/AST_L1A_00306292014212934. Uncertainty assessment based on the calculation in Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2999. "
