"PU","NAME","WGMS_ID","SURVEY_ID","SURVEY_DATE","REFERENCE_DATE","AREA_SURVEY_YEAR","AREA_CHANGE","ELEVATION_CHANGE","ELEVATION_CHANGE_UNC","INVESTIGATOR","SPONS_AGENCY","REFERENCE","REMARKS"
"PK","HINACNA GLACIER",16420,13227,20169999,20009999,,,431.0000000,3049.000,"Fanny Brun","Univ. Grenoble Alpes, CNRS, IRD, Grenoble INP, IGE, F-38000 Grenoble, France.","Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2999. ","More than 50 000 DEMs were derived from the vast amount of freely available L1A ASTER optical satellite stereo pairs for the period 2000-2016. Ice density assumption: 850 ± 60 kg m-3"
"PK","HISPAR GLACIER",16412,13219,20169999,20009999,,,-1924.0000000,2677.000,"Fanny Brun","Univ. Grenoble Alpes, CNRS, IRD, Grenoble INP, IGE, F-38000 Grenoble, France.","Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2999. ","More than 50 000 DEMs were derived from the vast amount of freely available L1A ASTER optical satellite stereo pairs for the period 2000-2016. Ice density assumption: 850 ± 60 kg m-3"
"PK","KARAMBAR",1002,9255,20169999,20009999,,,2086.0000000,2974.000,"Fanny Brun","Univ. Grenoble Alpes, CNRS, IRD, Grenoble INP, IGE, F-38000 Grenoble, France.","Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2999. ","More than 50 000 DEMs were derived from the vast amount of freely available L1A ASTER optical satellite stereo pairs for the period 2000-2016. Ice density assumption: 850 ± 60 kg m-3"
"PK","KERUM BAR GLACIER",16210,13018,20169999,20009999,,,2178.0000000,3682.000,"Fanny Brun","Univ. Grenoble Alpes, CNRS, IRD, Grenoble INP, IGE, F-38000 Grenoble, France.","Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2999. ","More than 50 000 DEMs were derived from the vast amount of freely available L1A ASTER optical satellite stereo pairs for the period 2000-2016. Ice density assumption: 850 ± 60 kg m-3"
"PK","KHUNJERAB GLACIER",16071,87344,20081203,20000299,5.753000,,716.0000000,,,,"Gardelle, J., et al., 2013, Cryosphere, 7, 1263-1286, 10.5194/tc-7-1263-2013","Area of survey year based on glacier area in RGI6.0"
"PK","KHUNJERAB GLACIER",16071,12879,20169999,20009999,,,437.0000000,3883.000,"Fanny Brun","Univ. Grenoble Alpes, CNRS, IRD, Grenoble INP, IGE, F-38000 Grenoble, France.","Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2999. ","More than 50 000 DEMs were derived from the vast amount of freely available L1A ASTER optical satellite stereo pairs for the period 2000-2016. Ice density assumption: 850 ± 60 kg m-3"
"PK","KHURDOPIN GLACIER",16407,13214,20169999,20009999,,,-198.0000000,2729.000,"Fanny Brun","Univ. Grenoble Alpes, CNRS, IRD, Grenoble INP, IGE, F-38000 Grenoble, France.","Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2999. ","More than 50 000 DEMs were derived from the vast amount of freely available L1A ASTER optical satellite stereo pairs for the period 2000-2016. Ice density assumption: 850 ± 60 kg m-3"
"PK","KONDUS GLACIER",16720,13527,20169999,20009999,,,-1553.0000000,2754.000,"Fanny Brun","Univ. Grenoble Alpes, CNRS, IRD, Grenoble INP, IGE, F-38000 Grenoble, France.","Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2999. ","More than 50 000 DEMs were derived from the vast amount of freely available L1A ASTER optical satellite stereo pairs for the period 2000-2016. Ice density assumption: 850 ± 60 kg m-3"
"PK","KORISA GLACIER",16850,13657,20169999,20009999,,,-649.0000000,3392.000,"Fanny Brun","Univ. Grenoble Alpes, CNRS, IRD, Grenoble INP, IGE, F-38000 Grenoble, France.","Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2999. ","More than 50 000 DEMs were derived from the vast amount of freely available L1A ASTER optical satellite stereo pairs for the period 2000-2016. Ice density assumption: 850 ± 60 kg m-3"
"PK","KOZ YAZ GLACIER",16119,12927,20169999,20009999,,,-668.0000000,3136.000,"Fanny Brun","Univ. Grenoble Alpes, CNRS, IRD, Grenoble INP, IGE, F-38000 Grenoble, France.","Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2999. ","More than 50 000 DEMs were derived from the vast amount of freely available L1A ASTER optical satellite stereo pairs for the period 2000-2016. Ice density assumption: 850 ± 60 kg m-3"
"PK","KUKKI JERAB GLACIER",16183,12991,20169999,20009999,,,-2108.0000000,3206.000,"Fanny Brun","Univ. Grenoble Alpes, CNRS, IRD, Grenoble INP, IGE, F-38000 Grenoble, France.","Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2999. ","More than 50 000 DEMs were derived from the vast amount of freely available L1A ASTER optical satellite stereo pairs for the period 2000-2016. Ice density assumption: 850 ± 60 kg m-3"
"PK","LUPGHAR YAZ GLACIER",16357,13164,20169999,20009999,,,-2724.0000000,3413.000,"Fanny Brun","Univ. Grenoble Alpes, CNRS, IRD, Grenoble INP, IGE, F-38000 Grenoble, France.","Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2999. ","More than 50 000 DEMs were derived from the vast amount of freely available L1A ASTER optical satellite stereo pairs for the period 2000-2016. Ice density assumption: 850 ± 60 kg m-3"
"PK","MASHERBRUM GLACIER ",16727,13534,20169999,20009999,,,2848.0000000,3287.000,"Fanny Brun","Univ. Grenoble Alpes, CNRS, IRD, Grenoble INP, IGE, F-38000 Grenoble, France.","Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2999. ","More than 50 000 DEMs were derived from the vast amount of freely available L1A ASTER optical satellite stereo pairs for the period 2000-2016. Ice density assumption: 850 ± 60 kg m-3"
"PK","MINAPIN",994,9253,20169999,20009999,,,-2155.0000000,2918.000,"Fanny Brun","Univ. Grenoble Alpes, CNRS, IRD, Grenoble INP, IGE, F-38000 Grenoble, France.","Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2999. ","More than 50 000 DEMs were derived from the vast amount of freely available L1A ASTER optical satellite stereo pairs for the period 2000-2016. Ice density assumption: 850 ± 60 kg m-3"
"PK","MOMHIL GLACIER",16329,13136,20169999,20009999,,,-2022.0000000,2884.000,"Fanny Brun","Univ. Grenoble Alpes, CNRS, IRD, Grenoble INP, IGE, F-38000 Grenoble, France.","Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2999. ","More than 50 000 DEMs were derived from the vast amount of freely available L1A ASTER optical satellite stereo pairs for the period 2000-2016. Ice density assumption: 850 ± 60 kg m-3"
"PK","MULUNGUTTI GLACIER",16361,13168,20169999,20009999,,,730.0000000,2778.000,"Fanny Brun","Univ. Grenoble Alpes, CNRS, IRD, Grenoble INP, IGE, F-38000 Grenoble, France.","Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2999. ","More than 50 000 DEMs were derived from the vast amount of freely available L1A ASTER optical satellite stereo pairs for the period 2000-2016. Ice density assumption: 850 ± 60 kg m-3"
"PK","NORTH TERONG GLACIER",16764,13571,20169999,20009999,,,-2451.0000000,2829.000,"Fanny Brun","Univ. Grenoble Alpes, CNRS, IRD, Grenoble INP, IGE, F-38000 Grenoble, France.","Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2999. ","More than 50 000 DEMs were derived from the vast amount of freely available L1A ASTER optical satellite stereo pairs for the period 2000-2016. Ice density assumption: 850 ± 60 kg m-3"
"PK","OCHHONO GLACIER",17891,14698,20169999,20009999,,,-4764.0000000,4365.000,"Fanny Brun","Univ. Grenoble Alpes, CNRS, IRD, Grenoble INP, IGE, F-38000 Grenoble, France.","Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2999. ","More than 50 000 DEMs were derived from the vast amount of freely available L1A ASTER optical satellite stereo pairs for the period 2000-2016. Ice density assumption: 850 ± 60 kg m-3"
"PK","PANMAH GLACIER",16432,13239,20169999,20009999,,,-1956.0000000,2705.000,"Fanny Brun","Univ. Grenoble Alpes, CNRS, IRD, Grenoble INP, IGE, F-38000 Grenoble, France.","Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2999. ","More than 50 000 DEMs were derived from the vast amount of freely available L1A ASTER optical satellite stereo pairs for the period 2000-2016. Ice density assumption: 850 ± 60 kg m-3"
"PK","PARPIK GLACIER",16064,12872,20169999,20009999,,,1280.0000000,2957.000,"Fanny Brun","Univ. Grenoble Alpes, CNRS, IRD, Grenoble INP, IGE, F-38000 Grenoble, France.","Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2999. ","More than 50 000 DEMs were derived from the vast amount of freely available L1A ASTER optical satellite stereo pairs for the period 2000-2016. Ice density assumption: 850 ± 60 kg m-3"
"PK","PASU GLACIER",16307,13114,20169999,20009999,,,-1408.0000000,3145.000,"Fanny Brun","Univ. Grenoble Alpes, CNRS, IRD, Grenoble INP, IGE, F-38000 Grenoble, France.","Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2999. ","More than 50 000 DEMs were derived from the vast amount of freely available L1A ASTER optical satellite stereo pairs for the period 2000-2016. Ice density assumption: 850 ± 60 kg m-3"
"PK","PEKHIN GLACIER",16173,12981,20169999,20009999,,,301.0000000,3872.000,"Fanny Brun","Univ. Grenoble Alpes, CNRS, IRD, Grenoble INP, IGE, F-38000 Grenoble, France.","Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2999. ","More than 50 000 DEMs were derived from the vast amount of freely available L1A ASTER optical satellite stereo pairs for the period 2000-2016. Ice density assumption: 850 ± 60 kg m-3"
"PK","PISAN GLACIER",16385,13192,20169999,20009999,,,-489.0000000,4194.000,"Fanny Brun","Univ. Grenoble Alpes, CNRS, IRD, Grenoble INP, IGE, F-38000 Grenoble, France.","Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2999. ","More than 50 000 DEMs were derived from the vast amount of freely available L1A ASTER optical satellite stereo pairs for the period 2000-2016. Ice density assumption: 850 ± 60 kg m-3"
"PK","QALANDAR GUM GLACIER",16538,13345,20169999,20009999,,,-497.0000000,4435.000,"Fanny Brun","Univ. Grenoble Alpes, CNRS, IRD, Grenoble INP, IGE, F-38000 Grenoble, France.","Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2999. ","More than 50 000 DEMs were derived from the vast amount of freely available L1A ASTER optical satellite stereo pairs for the period 2000-2016. Ice density assumption: 850 ± 60 kg m-3"
"PK","RAIKOT",3665,9355,20169999,20009999,,,184.0000000,2959.000,"Fanny Brun","Univ. Grenoble Alpes, CNRS, IRD, Grenoble INP, IGE, F-38000 Grenoble, France.","Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2999. ","More than 50 000 DEMs were derived from the vast amount of freely available L1A ASTER optical satellite stereo pairs for the period 2000-2016. Ice density assumption: 850 ± 60 kg m-3"
"PK","SALILI GLACIER I",16422,13229,20169999,20009999,,,-360.0000000,2889.000,"Fanny Brun","Univ. Grenoble Alpes, CNRS, IRD, Grenoble INP, IGE, F-38000 Grenoble, France.","Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2999. ","More than 50 000 DEMs were derived from the vast amount of freely available L1A ASTER optical satellite stereo pairs for the period 2000-2016. Ice density assumption: 850 ± 60 kg m-3"
"PK","SALILI GLACIER II",16421,13228,20169999,20009999,,,-2952.0000000,3776.000,"Fanny Brun","Univ. Grenoble Alpes, CNRS, IRD, Grenoble INP, IGE, F-38000 Grenoble, France.","Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2999. ","More than 50 000 DEMs were derived from the vast amount of freely available L1A ASTER optical satellite stereo pairs for the period 2000-2016. Ice density assumption: 850 ± 60 kg m-3"
"PK","SARAWALI GLACIER",17707,14514,20169999,20009999,,,-3650.0000000,3473.000,"Fanny Brun","Univ. Grenoble Alpes, CNRS, IRD, Grenoble INP, IGE, F-38000 Grenoble, France.","Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2999. ","More than 50 000 DEMs were derived from the vast amount of freely available L1A ASTER optical satellite stereo pairs for the period 2000-2016. Ice density assumption: 850 ± 60 kg m-3"
"PK","SATSCHEN SANGO",977,800,19589999,19349999,10.95000,0.0000000,-3400.0000000,,,,"WGMS (1993): FoG 1985-1990 (Vol. VI).",
"PK","SATSCHEN SANGO",977,801,19879999,19589999,,0.0000000,-1400.0000000,,,,"WGMS (1993): FoG 1985-1990 (Vol. VI).",
